Index,length_sum,length_mean,travel_time,count,max
9639,36468.88989,520.9841413,62.51809696,36,0.428732928
9640,105440.0851,432.1314963,47.96455755,109,0.303637891
9641,49930.69451,402.6668912,48.32002694,57,0.264157065
9642,13127.79388,364.6609412,40.57058807,34,0.341556507
9643,29835.66117,310.7881372,33.85076482,91,0.456671495
9644,23808.99468,417.7016611,50.12419933,52,0.364698324
9645,36099.55428,328.1777662,39.38133194,52,0.38450293
9646,37846.99195,450.559428,42.55446332,37,0.365715168
9647,18923.49598,450.559428,42.05534987,37,0.365715168
9648,51472.32187,343.1488124,32.89361344,69,0.39088972
9649,32694.73773,317.4246382,37.62971303,87,0.268206397
9650,51002.75855,463.6614413,55.63937296,50,0.369996962
9651,25501.37927,463.6614413,55.63937296,50,0.369996962
9652,65777.25599,217.8054834,26.11329153,127,0.429419545
9653,39573.52503,242.7823622,28.36951676,136,0.264981122
9654,41773.50248,394.089646,33.63663738,47,0.510807228
9655,20886.75124,394.089646,33.39819477,47,0.510807228
9656,40137.37217,413.787342,47.48219907,85,0.411656019
9657,62105.16773,310.5258386,30.97451043,78,0.384162954
9658,51223.20651,291.0409461,33.86447114,79,0.358112454
9659,45078.08042,352.1725033,34.98458885,113,0.367621925
9660,48795.67059,293.9498229,35.27397874,146,0.420893628
9661,42917.40379,390.1582163,44.47492367,51,0.452403733
9662,47622.90776,506.6266783,57.79154678,82,0.286188622
9663,14741.03242,409.4731227,49.13677472,17,0.451095504
9664,7370.516208,409.4731227,49.13677472,17,0.451095504
9665,97604.2813,244.0107032,27.56537654,160,0.365995121
9666,54655.07091,455.4589242,50.2156217,54,0.435250827
9667,79316.75621,386.9110059,46.42932071,180,0.321290553
9668,15301.89515,402.6814514,47.71909169,36,0.362764667
9669,44483.25563,436.1103493,49.44729681,46,0.466963471
9670,111790.5888,454.4332878,51.38383386,109,0.440614083
9671,53649.01966,439.7460628,49.09855734,109,0.440614083
9672,91370.83404,571.0677128,64.1906193,70,0.393143167
9673,93121.36803,251.679373,28.82007096,157,0.305751189
9674,1027290.214,324.4757465,37.11235064,1220,0.425373775
9675,81539.8232,522.6911744,51.04266119,76,0.399019253
9676,50008.09884,329.0006503,39.48007803,128,0.463054423
9677,24349.37024,419.8167282,49.64932633,55,0.408639018
9678,34641.0365,393.648142,47.23777704,38,0.278037991
9679,39204.81457,272.2556567,28.77545833,63,0.376389533
9680,18206.83254,444.0690864,53.28829037,39,0.384315589
9681,66307.88547,273.9995267,32.87994321,105,0.413656482
9682,31194.32843,410.4516898,49.25420278,37,0.403565386
9683,59919.46282,576.148681,60.48861667,49,0.47313262
9684,16983.7108,404.3740668,42.84890374,40,0.447467221
9685,40724.58703,370.2235185,40.07309171,95,0.415525471
9686,62157.2205,323.7355234,33.86893459,79,0.234524995
9687,127292.3928,157.5400901,18.06437999,321,0.428322447
9688,36210.90987,362.1090987,43.45309184,46,0.46416327
9689,24712.07307,325.1588562,37.2136574,36,0.363213614
9690,75612.42607,424.7889105,46.21225373,86,0.291125983
9691,42924.27937,536.5534922,64.38641906,70,0.285546579
9692,19098.83623,397.8924215,47.74709059,22,0.502232794
9693,49017.5254,278.5086671,33.42104005,74,0.418283086
9694,209339.9942,404.131263,46.49016973,218,0.25690609
9695,99103.74316,391.7143999,44.95258295,218,0.25690609
9696,39030.10378,327.9840654,39.23315877,96,0.377197327
